epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.33055,2.64766,5.94062,2.14265,0,0,0,0,2.46656,5.25587,2.05582,0.0001,0.0001,0.0001
2,5.22017,2.11681,5.01488,1.74521,0,0,0,0,1.8261,4.88973,1.56926,0.000207921,0.000207921,0.000207921
3,7.17911,1.89321,4.70251,1.49249,0,0,0,0,1.80164,4.68098,1.39754,0.000313664,0.000313664,0.000313664
4,9.15139,1.7325,4.13359,1.38114,0.00084,0.28968,0.04197,0.02593,1.963,4.41735,1.54396,0.000417229,0.000417229,0.000417229
5,11.0935,1.67469,3.92925,1.34179,0.00181,0.36429,0.02547,0.01024,1.85611,4.36129,1.48441,0.000518616,0.000518616,0.000518616
6,12.9209,1.69671,3.84979,1.38138,0.00094,0.39286,0.05445,0.01649,1.79845,4.31596,1.54183,0.000617825,0.000617825,0.000617825
7,14.633,1.61001,3.27214,1.31377,0.00082,0.35714,0.04629,0.01657,1.62446,4.16367,1.40329,0.000714856,0.000714856,0.000714856
8,16.3599,1.63959,3.49912,1.30347,0.00028,0.25,0.01261,0.00917,1.70038,4.13591,1.54049,0.000809709,0.000809709,0.000809709
9,18.0504,1.64216,3.15012,1.30167,0.00123,0.40476,0.11008,0.03082,1.72638,3.97371,1.57312,0.000902384,0.000902384,0.000902384
10,19.7526,1.59087,3.15877,1.27585,0.69856,0.13931,0.15909,0.0543,1.83914,3.65962,1.60083,0.0009109,0.0009109,0.0009109
11,21.4508,1.69472,3.0068,1.27639,0.00126,0.4127,0.0701,0.03658,1.80561,3.79492,1.59572,0.000901,0.000901,0.000901
12,23.1779,1.67548,2.89712,1.33637,0.34143,0.23214,0.14637,0.07266,1.78761,3.1403,1.53303,0.0008911,0.0008911,0.0008911
13,24.955,1.60651,2.79932,1.32584,0.88872,0.25,0.30157,0.13743,1.72025,3.0226,1.53005,0.0008812,0.0008812,0.0008812
14,26.6955,1.54671,2.68969,1.30732,0.42708,0.24803,0.166,0.08401,1.78493,3.02519,1.57947,0.0008713,0.0008713,0.0008713
15,28.4163,1.53465,2.61057,1.28115,0.61168,0.29563,0.2456,0.12035,1.73885,2.98904,1.54928,0.0008614,0.0008614,0.0008614
16,30.1408,1.56267,3.16738,1.3369,0.41017,0.25992,0.19566,0.07974,1.79953,3.1058,1.55213,0.0008515,0.0008515,0.0008515
17,31.8201,1.51222,2.46465,1.25562,0.28925,0.39333,0.22098,0.0801,1.82091,3.14281,1.62607,0.0008416,0.0008416,0.0008416
18,33.5753,1.4891,2.37811,1.26083,0.24101,0.38908,0.19107,0.08386,1.88367,2.89795,1.69978,0.0008317,0.0008317,0.0008317
19,35.2706,1.52354,2.31843,1.28077,0.25105,0.42421,0.27387,0.12441,1.92312,2.70526,1.71237,0.0008218,0.0008218,0.0008218
20,36.9972,1.47201,2.38339,1.26022,0.24751,0.38934,0.25036,0.09836,1.80312,3.07379,1.64906,0.0008119,0.0008119,0.0008119
21,38.7015,1.33039,2.19453,1.19922,0.29729,0.55083,0.28544,0.13148,1.89286,3.19211,1.64007,0.000802,0.000802,0.000802
22,40.4406,1.38234,1.9807,1.25368,0.35658,0.51033,0.22307,0.1201,1.87102,3.67455,1.6268,0.0007921,0.0007921,0.0007921
23,42.1595,1.37331,2.09299,1.21308,0.62182,0.27147,0.28995,0.13219,1.9706,2.62252,1.65602,0.0007822,0.0007822,0.0007822
