epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2256,2.71213,23.5726,2.25922,0,0,0,0,2.56625,16.049,2.27103,5e-05,5e-05,5e-05
2,11.873,2.72527,18.361,2.256,0,0,0,0,2.64884,21.7322,2.27592,0.000109455,0.000109455,0.000109455
3,18.6977,2.40894,6.75867,1.8617,0.01187,0.46429,0.01545,0.00685,2.08571,26.8458,1.76735,0.000168317,0.000168317,0.000168317
4,21.7002,1.8889,4.53666,1.51395,0.03411,0.5119,0.04626,0.02318,2.01631,27.127,1.57041,0.000226584,0.000226584,0.000226584
5,24.5396,1.68778,3.45411,1.38741,0.55775,0.07143,0.09344,0.0367,2.00746,15.6711,1.60389,0.000284258,0.000284258,0.000284258
6,27.3939,1.68975,2.87115,1.38907,0.55977,0.23214,0.28129,0.14317,1.98923,5.92315,1.75764,0.000341337,0.000341337,0.000341337
7,30.3724,1.66529,2.83635,1.49159,0.33318,0.33849,0.35383,0.17407,1.90706,8.37879,1.71857,0.000397823,0.000397823,0.000397823
8,33.4926,1.76669,2.79636,1.60431,0.44132,0.35379,0.31458,0.16178,1.97305,6.17756,1.8208,0.000453714,0.000453714,0.000453714
9,36.4063,1.62914,2.65836,1.44915,0.33409,0.35278,0.13452,0.06349,1.79595,4.08435,1.63208,0.000509012,0.000509012,0.000509012
10,39.6376,1.5505,2.05686,1.3634,0.62389,0.3,0.33057,0.18896,1.8359,3.93672,1.6997,0.000563715,0.000563715,0.000563715
11,42.7581,1.49469,1.82612,1.41667,0.25976,0.49405,0.19668,0.09818,1.97909,4.76218,1.80392,0.000617825,0.000617825,0.000617825
12,45.7736,1.45406,1.75483,1.37272,0.75,0.23944,0.33852,0.16089,1.91827,8.42291,1.73332,0.00067134,0.00067134,0.00067134
13,48.6911,1.46127,1.77808,1.30503,0.42756,0.15704,0.14477,0.07126,1.98892,7.38567,1.92841,0.000724262,0.000724262,0.000724262
14,51.8413,1.49689,1.60945,1.32384,0.39055,0.38214,0.13816,0.07562,1.87619,5.34413,1.76517,0.00077659,0.00077659,0.00077659
15,54.8598,1.44536,1.51491,1.31762,0.08326,0.54286,0.14384,0.06489,1.95844,3.28371,1.83866,0.000828323,0.000828323,0.000828323
16,57.8749,1.44893,1.50568,1.32838,0.04033,0.28929,0.06931,0.03341,2.04417,4.09716,1.93671,0.000879463,0.000879463,0.000879463
17,60.8544,1.42618,1.38788,1.29952,0.17418,0.16071,0.14566,0.06615,1.93158,3.83731,1.74946,0.0009208,0.0009208,0.0009208
18,63.7671,1.41003,1.52421,1.29727,0.9063,0.32143,0.37074,0.18861,1.93434,3.41263,1.83352,0.00091585,0.00091585,0.00091585
19,66.5978,1.25887,1.21284,1.24861,0.25959,0.35356,0.26775,0.14839,1.98364,3.42594,1.93442,0.0009109,0.0009109,0.0009109
20,69.4476,1.26167,1.30705,1.2574,0.95033,0.125,0.22682,0.11749,2.06869,3.84486,1.93075,0.00090595,0.00090595,0.00090595
21,72.2047,1.2983,1.33661,1.28755,0.5637,0.125,0.12998,0.07083,1.87624,4.17649,1.84632,0.000901,0.000901,0.000901
